"","V1","V3","n"
"1",16,"a",2
"2",16,"airplane",20
"3",16,"all",3
"4",16,"all gone",22
"5",16,"alligator",1
"6",16,"and",1
"7",16,"animal",4
"8",16,"another",1
"9",16,"ant",4
"10",16,"apple",22
"11",16,"applesauce",3
"12",16,"arm",2
"13",16,"asleep",2
"14",16,"at",1
"15",16,"aunt",4
"16",16,"awake",1
"17",16,"baa baa",37
"18",16,"baby",43
"19",16,"babysitter's name",9
"20",16,"back",2
"21",16,"backyard",2
"22",16,"bad",10
"23",16,"ball",52
"24",16,"balloon",38
"25",16,"banana",29
"26",16,"basement",1
"27",16,"basket",1
"28",16,"bat",2
"29",16,"bath",21
"30",16,"bathroom",3
"31",16,"bathtub",6
"32",16,"beach",4
"33",16,"beads",3
"34",16,"beans",3
"35",16,"bear",24
"36",16,"bed",7
"37",16,"bedroom",2
"38",16,"bee",11
"39",16,"belly button",20
"40",16,"belt",1
"41",16,"bib",6
"42",16,"bicycle",13
"43",16,"big",8
"44",16,"bird",33
"45",16,"bite",13
"46",16,"black",2
"47",16,"blanket",11
"48",16,"block",9
"49",16,"blow",5
"50",16,"blue",3
"51",16,"boat",24
"52",16,"book",38
"53",16,"boots",4
"54",16,"bottle",36
"55",16,"bowl",5
"56",16,"box",8
"57",16,"boy",7
"58",16,"bread",7
"59",16,"break",1
"60",16,"breakfast",5
"61",16,"bring",1
"62",16,"broken",3
"63",16,"broom",5
"64",16,"brother",3
"65",16,"brown",1
"66",16,"brush",6
"67",16,"bubbles",25
"68",16,"bucket",1
"69",16,"bug",6
"70",16,"build",1
"71",16,"bump",5
"72",16,"bunny",17
"73",16,"bus",13
"74",16,"butter",3
"75",16,"butterfly",4
"76",16,"buttocks/bottom*",7
"77",16,"button",11
"78",16,"buy",2
"79",16,"by",2
"80",16,"bye",55
"81",16,"cake",4
"82",16,"call (on phone)",12
"83",16,"camera",4
"84",16,"can (object)",1
"85",16,"candy",11
"86",16,"car",31
"87",16,"careful",2
"88",16,"carrots",4
"89",16,"carry",1
"90",16,"cat",31
"91",16,"catch",1
"92",16,"cereal",9
"93",16,"chair",8
"94",16,"chalk",1
"95",16,"cheek",4
"96",16,"cheerios",9
"97",16,"cheese",28
"98",16,"chicken (animal)",5
"99",16,"chicken (food)",5
"100",16,"child's own name",19
"101",16,"chin",5
"102",16,"chocolate",3
"103",16,"choo choo",14
"104",16,"church*",3
"105",16,"clap",5
"106",16,"clean (action)",2
"107",16,"clean (description)",1
"108",16,"climb",2
"109",16,"clock",8
"110",16,"close",2
"111",16,"closet",1
"112",16,"cloud",4
"113",16,"clown",2
"114",16,"coat",4
"115",16,"cockadoodledoo",10
"116",16,"coffee",4
"117",16,"coke",3
"118",16,"cold",11
"119",16,"comb",5
"120",16,"cook",1
"121",16,"cookie",35
"122",16,"corn",4
"123",16,"cover",1
"124",16,"cow",14
"125",16,"cracker",25
"126",16,"crayon",4
"127",16,"crib",2
"128",16,"cry",5
"129",16,"cup",18
"130",16,"cute",1
"131",16,"daddy*",62
"132",16,"dance",3
"133",16,"dark",1
"134",16,"day",1
"135",16,"diaper",20
"136",16,"did/did ya",1
"137",16,"dinner",2
"138",16,"dirty",9
"139",16,"dish",2
"140",16,"do",4
"141",16,"doctor",4
"142",16,"dog",46
"143",16,"doll",12
"144",16,"don't",3
"145",16,"donkey",1
"146",16,"donut",2
"147",16,"door",14
"148",16,"down",24
"149",16,"draw",2
"150",16,"drawer",1
"151",16,"dress (object)",3
"152",16,"drink (action)",10
"153",16,"drink (beverage)",9
"154",16,"drive",2
"155",16,"drop",2
"156",16,"dry (description)",3
"157",16,"duck",29
"158",16,"dump",1
"159",16,"ear",21
"160",16,"eat",16
"161",16,"egg",14
"162",16,"elephant",3
"163",16,"empty",3
"164",16,"eye",32
"165",16,"face",4
"166",16,"fall",5
"167",16,"feed",1
"168",16,"find",2
"169",16,"finger",5
"170",16,"finish",1
"171",16,"firetruck",1
"172",16,"fish (animal)",23
"173",16,"fish (food)",9
"174",16,"fix",2
"175",16,"flag",2
"176",16,"flower",20
"177",16,"food",3
"178",16,"foot",14
"179",16,"fork",4
"180",16,"french fries",5
"181",16,"friend",2
"182",16,"frog",6
"183",16,"game",1
"184",16,"garage",1
"185",16,"garbage",4
"186",16,"gentle",2
"187",16,"get",4
"188",16,"giraffe",3
"189",16,"girl",4
"190",16,"give",2
"191",16,"give me five!",6
"192",16,"glass",2
"193",16,"glasses",5
"194",16,"gloves",1
"195",16,"go",16
"196",16,"go potty",5
"197",16,"gonna get you!",6
"198",16,"gonna/going to",1
"199",16,"good",4
"200",16,"goose",6
"201",16,"grandma*",23
"202",16,"grandpa*",25
"203",16,"grapes",8
"204",16,"grass",4
"205",16,"green",3
"206",16,"green beans",1
"207",16,"grrr",30
"208",16,"gum",2
"209",16,"hair",17
"210",16,"hamburger",2
"211",16,"hammer",2
"212",16,"hand",6
"213",16,"happy",4
"214",16,"hard",1
"215",16,"hat",18
"216",16,"have",1
"217",16,"head",7
"218",16,"hear",1
"219",16,"heavy",2
"220",16,"helicopter",3
"221",16,"hello",21
"222",16,"help",6
"223",16,"hen",1
"224",16,"here",2
"225",16,"hers",1
"226",16,"hi",52
"227",16,"high",1
"228",16,"high chair",3
"229",16,"hit",3
"230",16,"hold",4
"231",16,"home",10
"232",16,"horse",16
"233",16,"hose",1
"234",16,"hot",32
"235",16,"house",3
"236",16,"hug",12
"237",16,"hungry",5
"238",16,"hurry",1
"239",16,"hurt",4
"240",16,"I",3
"241",16,"ice",12
"242",16,"ice cream",6
"243",16,"inside/in",4
"244",16,"it",2
"245",16,"jacket",3
"246",16,"jar",1
"247",16,"jello",2
"248",16,"jelly",1
"249",16,"juice",34
"250",16,"jump",1
"251",16,"keys",25
"252",16,"kick",3
"253",16,"kiss",12
"254",16,"kitchen",2
"255",16,"kitty",37
"256",16,"knee",6
"257",16,"knife",1
"258",16,"knock",2
"259",16,"lady",2
"260",16,"lamb",4
"261",16,"lamp",1
"262",16,"lawn mower",2
"263",16,"leg",2
"264",16,"lemme/let me",2
"265",16,"light",17
"266",16,"like",3
"267",16,"lion",4
"268",16,"lips",3
"269",16,"little (description)",1
"270",16,"living room",1
"271",16,"lollipop",1
"272",16,"look",4
"273",16,"love",5
"274",16,"lunch",2
"275",16,"mad",1
"276",16,"mailman",2
"277",16,"make",1
"278",16,"man",3
"279",16,"me",10
"280",16,"medicine",3
"281",16,"melon",2
"282",16,"meow",41
"283",16,"milk",22
"284",16,"mine",17
"285",16,"mittens",1
"286",16,"mommy*",60
"287",16,"money",6
"288",16,"monkey",8
"289",16,"moo",35
"290",16,"moon",10
"291",16,"moose",1
"292",16,"mop",1
"293",16,"more",18
"294",16,"morning",2
"295",16,"motorcycle",4
"296",16,"mouse",6
"297",16,"mouth",11
"298",16,"movie",1
"299",16,"muffin",3
"300",16,"my",2
"301",16,"nap",5
"302",16,"napkin",2
"303",16,"naughty",1
"304",16,"necklace",1
"305",16,"need/need to",1
"306",16,"nice",4
"307",16,"night",4
"308",16,"night night",30
"309",16,"no",48
"310",16,"noisy",1
"311",16,"noodles",6
"312",16,"nose",30
"313",16,"now",1
"314",16,"nuts",1
"315",16,"off",3
"316",16,"old",2
"317",16,"on",5
"318",16,"on top of",1
"319",16,"open",12
"320",16,"orange (description)",3
"321",16,"orange (food)",4
"322",16,"ouch",37
"323",16,"out",9
"324",16,"outside",22
"325",16,"oven",2
"326",16,"owie/boo boo",23
"327",16,"owl",6
"328",16,"paint",1
"329",16,"pajamas",2
"330",16,"pancake",4
"331",16,"pants",6
"332",16,"paper",4
"333",16,"park",2
"334",16,"pattycake",9
"335",16,"peanut butter",1
"336",16,"peas",5
"337",16,"peekaboo",32
"338",16,"pen",8
"339",16,"pencil",4
"340",16,"penguin",1
"341",16,"penis*",5
"342",16,"penny",1
"343",16,"people",2
"344",16,"pet's name",19
"345",16,"pick",1
"346",16,"pickle",3
"347",16,"picture",3
"348",16,"pig",12
"349",16,"pillow",4
"350",16,"pizza",4
"351",16,"plant",3
"352",16,"plate",2
"353",16,"play",4
"354",16,"play pen",2
"355",16,"please",16
"356",16,"police",2
"357",16,"pony",1
"358",16,"pool",8
"359",16,"popcorn",5
"360",16,"popsicle",5
"361",16,"potato",1
"362",16,"potato chip",6
"363",16,"potty",8
"364",16,"present",2
"365",16,"pretty",12
"366",16,"pumpkin",1
"367",16,"puppy",13
"368",16,"purse",9
"369",16,"push",2
"370",16,"put",1
"371",16,"puzzle",3
"372",16,"quack quack",29
"373",16,"radio",3
"374",16,"rain",5
"375",16,"raisin",4
"376",16,"read",4
"377",16,"red",3
"378",16,"refrigerator",2
"379",16,"rock",11
"380",16,"rocking chair",2
"381",16,"roof",2
"382",16,"room",1
"383",16,"rooster",3
"384",16,"run",2
"385",16,"sandbox",2
"386",16,"sandwich",3
"387",16,"school",2
"388",16,"scissors",3
"389",16,"see",7
"390",16,"sheep",5
"391",16,"shh/shush/hush",21
"392",16,"shirt",6
"393",16,"shoe",34
"394",16,"shopping",2
"395",16,"shorts",1
"396",16,"shoulder",1
"397",16,"shovel",2
"398",16,"shower",3
"399",16,"sink",2
"400",16,"sister",8
"401",16,"sit",4
"402",16,"sky",6
"403",16,"sleep",2
"404",16,"sleepy",4
"405",16,"slide (action)",2
"406",16,"slide (object)",3
"407",16,"slipper",3
"408",16,"smile",1
"409",16,"snack",2
"410",16,"sneaker",2
"411",16,"snow",3
"412",16,"so big!",11
"413",16,"soap",5
"414",16,"sock",23
"415",16,"soda/pop",6
"416",16,"some",5
"417",16,"soup",4
"418",16,"spaghetti",3
"419",16,"splash",2
"420",16,"spoon",15
"421",16,"squirrel",2
"422",16,"stairs",3
"423",16,"stand",1
"424",16,"star",7
"425",16,"stick",5
"426",16,"stop",5
"427",16,"store",2
"428",16,"story",2
"429",16,"stove",1
"430",16,"strawberry",6
"431",16,"street",1
"432",16,"stroller",4
"433",16,"stuck",1
"434",16,"sun",3
"435",16,"sweater",2
"436",16,"sweep",2
"437",16,"swim",2
"438",16,"swing (action)",7
"439",16,"swing (object)",10
"440",16,"table",1
"441",16,"tape",2
"442",16,"taste",1
"443",16,"teacher",1
"444",16,"teddybear",10
"445",16,"telephone",16
"446",16,"thank you",29
"447",16,"that",11
"448",16,"the",1
"449",16,"there",1
"450",16,"these",1
"451",16,"thirsty",2
"452",16,"this",6
"453",16,"this little piggy",8
"454",16,"throw",1
"455",16,"tickle",4
"456",16,"tiger",2
"457",16,"tired",1
"458",16,"tissue/kleenex",3
"459",16,"toast",11
"460",16,"today",1
"461",16,"toe",10
"462",16,"tongue",5
"463",16,"tooth",8
"464",16,"toothbrush",7
"465",16,"towel",2
"466",16,"toy (object)",13
"467",16,"tractor",2
